КодКлиента|Цена|ЦенаДоСкидки|ДРегСкидка|ДДнСкидки
330042982|482||||
1614409|431||||
140013929|434||||
22001039|362||||
690013363|361||||
140041031|368||||
100121357|393||||
1614409|431||||
60027132|361||||
60042267|434||||
970000563|482||||
87229579|482||||
10004231|98||||
690019070|366||||
81124508|366||||
23011834|560||||
330046637|482||||
330038061|98||||
30003545|360||||
330026809|362||||
36132858|362||||
140022293|360||||
90012344|560||||
22464183|361||||
87205640|482||||
330049062|482||||
1544541|432||||
69998969|391||||
22461946|482||||
1447712|368||||
1465859|451||||
36164526|480||||
1597243|364||||
140096134|368||||
60010246|364||||
130018384|560||||
140045000|368||||
960000064|362||||
30006694|482||||
1579824|366||||
140026163|361||||
1603441|482||||
330054805|391||||
36137977|366||||
180007961|361||||
36118890|436||||
90009046|391||||
690051424|482||||
690021024|456||||
260007699|454||||
60077942|482||||
1448395|368||||
1515319|366||||
330055175|361||||
22458395|432||||
1525121|482||||
740001070|362||||
70008334|361||||
87226672|436||||
140089498|560||||
60074140|361||||
1484847|391||||
160056681|391||||
1229101|390||||
81123979|482||||
36105217|361||||
60041607|361||||
87230146|431||||
590000767|444||||
330025162|482||||
130003460|364||||
140054504|368||||
140007963|366||||
60158577|368||||
140099801|390||||
9056421|482||||
60087139|361||||
60127827|361||||
60034411|361||||
60005297|361||||
1466303|361||||
140012625|534||||
81202998|361||||
100012786|482||||
36132493|364||||
60025634|482||||
880003718|368||||
700000534|366||||
22227203|431||||
880002687|435||||
880002687|435||||
880002687|435||||
180009446|482||||
60052602|361||||
1202727|393||||
1203028|361||||
180008287|361||||
140084027|482||||
140087076|361||||
690054097|394||||
23029249|361||||
87206157|482||||
1191392|361||||
140079623|431||||
260000266|390||||
690012456|368||||
690020434|368||||
122732|442||||
340002514|361||||
70006115|364||||
36204437|451||||
1466249|361||||
160016883|451||||
160063519|98||||
160063641|482||||
23038584|535||||
1439644|361||||
140046552|361||||
140022405|361||||
160011785|482||||
36177626|98||||
160053527|391||||
710001059|364||||
1597969|368||||
130005934|458||||
160061739|361||||
36132493|364||||
130012065|98||||
160065886|482||||
160043599|364||||
160043599|364||||
330012218|366||||
690032696|361||||
690016030|361||||
60149202|446||||
1474188|390||||
36116342|432||||
140034028|482||||
330076040|482||||
60163695|391||||
690028266|361||||
330041632|436||||
160022898|360||||
1192466|431||||
180008287|361||||
30003037|432||||
1148234|455||||
60003133|434||||
1571556|366||||
1531272|366||||
60183825|482||||
160011941|98||||
36207753|366||||
140020191|361||||
160011179|458||||
140081268|365||||
690028266|361||||
60178965|391||||
690035036|366||||
60042349|364||||
23037747|482||||
140008035|366||||
1466480|391||||
190002682|431||||
60038257|368||||
140010605|368||||
9070225|482||||
970000074|362||||
87171840|482||||
920000186|368||||
87262931|361||||
60083563|362||||
1548681|364||||
140023917|361||||
60065376|361||||
700000498|366||||
190002682|431||||
190002682|431||||
140054835|361||||
60014033|361||||
60220979|368||||
36103816|361||||
140025034|368||||
60129715|364||||
330080470|366||||
330008155|451||||
60129715|364||||
190002682|431||||
840002196|434||||
60039296|366||||
1571556|366||||
330088232|360||||
122418|365||||
160073075|482||||
160079586|482||||
140037792|362||||
51930|393||||
9075090|391||||
36104682|367||||
690005805|366||||
600001945|368||||
1590656|361||||
36102755|368||||
330073521|482||||
87190814|368||||
410002687|431||||
60011290|436||||
610001739|364||||
60187288|394||||
830000613|391||||
470009479|432||||
330041459|431||||
10000908|432||||
1455630|392||||
87242562|560||||
244444985|362||||
87242430|365||||
60037460|390||||
180006386|361||||
60666|361||||
87219953|361||||
52912|362||||
860000372|362||||
87248523|362||||
36121945|441||||
690000161|364||||
310002299|432||||
767778301|362||||
87174255|390||||
740000006|361||||
680000679|361||||
1514745|361||||
60023458|366||||
690033468|390||||
81114403|98||||
690001321|368||||
690019452|368||||
1565718|368||||
740001208|368||||
1231989|361||||
260006432|361||||
740000133|368||||
36132493|364||||
36132493|364||||
860000703|361||||
1568802|394||||
800000042|390||||
36205641|361||||
130010523|362||||
470004379|482||||
330097583|391||||
300001836|482||||
1443331|361||||
690043188|393||||
140044343|394||||
22452506|361||||
340000084|366||||
1405543|361||||
70017459|361||||
330008965|391||||
1405162|361||||
840002869|393||||
710001059|391||||
60032987|361||||
87257847|434||||
87248440|365||||
140040894|368||||
1540047|456||||
470007877|361||||
330030569|366||||
30010020|361||||
690014345|361||||
60026290|441||||
330086627|482||||
87226298|361||||
140096207|390||||
1564835|391||||
140021689|392||||
36102562|391||||
140023193|361||||
140039586|390||||
60019584|362||||
690019688|361||||
690040164|361||||
690011816|441||||
60042066|361||||
1172110|483||||
770000104|366||||
160039312|366||||
60021600|362||||
1537493|391||||
330054241|361||||
130012405|361||||
680000132|361||||
140070724|431||||
140059837|361||||
60053499|361||||
87228932|391||||
160078709|361||||
330099242|482||||
260000706|365||||
36207407|361||||
36104131|361||||
1349715|431||||
140046711|431||||
140059263|392||||
52373|432||||
36120625|452||||
1367675|361||||
140016632|361||||
140041335|458||||
5703|365||||
140068416|438||||
140091678|391||||
180003364|364||||
180003080|366||||
87193119|361||||
130003651|361||||
340000544|365||||
87207317|560||||
87203741|560||||
970000074|362||||
52027|362||||
69942572|362||||
330064307|560||||
60024936|432||||
60000458|362||||
60043198|368||||
690014212|392||||
330100582|482||||
60032581|392||||
60035079|480||||
150600169|360||||
190004043|362||||
60139002|361||||
36178238|365||||
690056466|361||||
330027530|560||||
1191392|390||||
1199264|431||||
87196218|394||||
330026874|393||||
60023904|361||||
330038593|394||||
60228492|392||||
690000402|394||||
690013076|361||||
60182779|391||||
60172351|361||||
60200843|366||||
690023760|394||||
1569921|365||||
260004066|432||||
690027664|361||||
160016493|366||||
1615225|390||||
5857|361||||
55005602|431||||
140018467|458||||
60001189|361||||
60190551|393||||
60097318|361||||
55001945|368||||
60010904|361||||
730000029|367||||
36102118|390||||
280000997|441||||
140045132|361||||
330101600|482||||
140045292|366||||
36112573|390||||
22445397|98||||
36157175|560||||
60017215|361||||
60018858|431||||
330021305|98||||
690009878|366||||
36124416|361||||
36115293|482||||
330059439|368||||
140044085|362||||
121684|390||||
36124778|391||||
36178735|361||||
60029406|390||||
180000305|362||||
36106811|361||||
1539197|361||||
60018719|361||||
1226345|361||||
1516648|392||||
36118906|365||||
36116251|451||||
1510694|390||||
36185609|362||||
690035036|366||||
690035036|366||||
140022934|361||||
36185150|390||||
1484944|366||||
910000649|361||||
60042257|362||||
160060850|393||||
700000884|98||||
87185177|392||||
60017464|361||||
60060490|368||||
5401|394||||
60040832|365||||
60012612|391||||
1197494|394||||
1463837|361||||
170000809|364||||
330103996|482||||
87193377|365||||
1376403|391||||
1615174|364||||
330104765|394||||
60032057|446||||
620000128|434||||
55002791|362||||
730000546|361||||
22443803|482||||
840001878|361||||
140037253|451||||
330093687|368||||
330059957|392||||
330093877|482||||
60073696|366||||
36110557|482||||
330088598|98||||
330041459|431||||
87203218|361||||
330089906|361||||
1452512|361||||
160094564|535||||
330108456|482||||
160095130|482||||
60026730|364||||
1205939|431||||
330056788|366||||
690000849|452||||
36176758|361||||
87245653|390||||
740001208|368||||
330108406|391||||
22452506|361||||
60028776|362||||
36176758|361||||
160059237|394||||
140021140|391||||
690031584|361||||
160018707|360||||
69996838|390||||
660001721|432||||
22463701|391||||
690039883|482||||
140062475|432||||
140091934|362||||
330049973|366||||
87235907|368||||
690040509|362||||
22449809|482||||
180007580|482||||
160006821|368||||
470009479|432||||
1560224|390||||
60219955|391||||
690049081|366||||
1591644|366||||
160100011|391||||
140006963|436||||
260001705|361||||
87185721|368||||
140041437|452||||
690000284|452||||
81201149|431||||
160048891|366||||
160102570|368||||
330117809|482||||
730000029|367||||
330118059|482||||
60040224|480||||
330051671|431||||
140001313|361||||
330118310|482||||
130012542|482||||
690056466|361||||
690000284|452||||
140050411|368||||
690035549|390||||
60093659|456||||
690021288|365||||
330119733|390||||
81117760|366||||
690013935|360||||
330120028|391||||
23039448|535||||
1496049|368||||
69997063|361||||
1583661|362||||
87243609|361||||
1378121|431||||
810000552|393||||
140057754|482||||
60094181|366||||
160060737|361||||
330088232|360||||
330095382|482||||
60164152|362||||
1593129|361||||
1486801|436||||
690019724|365||||
36120625|452||||
340000815|365||||
850000137|482||||
55000784|431||||
1473095|560||||
330080295|482||||
140011937|361||||
160027084|361||||
330061721|390||||
70017863|366||||
60010501|362||||
330125393|482||||
260001601|436||||
140037247|368||||
60121915|362||||
130011543|361||||
330103683|391||||
36179526|360||||
330095608|390||||
117295|391||||
60026294|360||||
690045165|366||||
1519254|482||||
470060266|361||||
1569921|365||||
130001478|361||||
36130345|452||||
130007512|361||||
1363203|391||||
60143193|366||||
36202470|391||||
760000024|392||||
100178839|482||||
100179229|482||||
1364657|393||||
1209417|390||||
300001568|391||||
60021600|362||||
260001601|436||||
90002340|560||||
330131762|482||||
130000187|482||||
60030438|431||||
60062619|364||||
36119260|361||||
1387720|98||||
840001158|360||||
340000166|361||||
60182870|390||||
690019724|365||||
60052602|361||||
23009240|362||||
60118804|365||||
340000544|365||||
60069415|392||||
60011284|393||||
330044699|365||||
60041919|431||||
69996657|361||||
60013676|390||||
60091489|431||||
1378776|482||||
60185474|361||||
60567008|361||||
60001511|364||||
60039533|391||||
130002299|482||||
160118137|482||||
140040198|362||||
330075451|431||||
1620757|361||||
87182560|361||||
180000726|366||||
60050450|361||||
160099649|482||||
880001656|98||||
60028733|366||||
1363188|361||||
60037116|391||||
60025779|364||||
10003761|482||||
60046721|535||||
60007597|431||||
60198173|394||||
60097982|392||||
60044868|393||||
1277294|431||||
330138506|482||||
60040218|434||||
330138569|482||||
330138606|535||||
1188608|390||||
60024296|392||||
36113902|482||||
60036909|392||||
260003249|362||||
130003651|361||||
60084661|432||||
60228013|391||||
60006984|361||||
160122171|482||||
5857|361||||
1484626|361||||
330140019|98||||
30008250|366||||
330140221|482||||
60018985|431||||
620001457|368||||
130016436|394||||
140044085|362||||
1548010|394||||
1401080|391||||
60146626|390||||
87187874|431||||
260003249|362||||
5836|361||||
150600133|361||||
330127220|390||||
1485477|365||||
160124702|482||||
60005772|390||||
60068968|393||||
60006605|431||||
36202342|361||||
60120773|390||||
1615996|393||||
60009453|390||||
36180335|390||||
60199931|393||||
690024515|394||||
140014016|98||||
140022927|482||||
60205766|368||||
360000075|482||||
61001382|361||||
60023458|366||||
36102118|390||||
330095391|361||||
60028733|366||||
1393751|361||||
140072055|482||||
36179597|393||||
130004159|361||||
87257847|434||||
87257847|434||||
36102118|390||||
1452623|458||||
1396894|98||||
36202342|361||||
180000726|366||||
140042723|482||||
260001258|432||||
160129620|482||||
160091567|560||||
330148237|482||||
160128531|365||||
140014458|362||||
10000941|452||||
1596025|361||||
36144196|390||||
87182560|361||||
87182560|361||||
9052196|482||||
690039533|394||||
130017325|482||||
60001864|391||||
1154518|393||||
330128973|391||||
9030541|361||||
100196744|482||||
1425783|361||||
140075590|361||||
30000567|482||||
60095630|394||||
1539197|361||||
1401492|366||||
66668142|482||||
60118513|456||||
160136477|391||||
330106075|431||||
330155336|482||||
140019340|482||||
1517863|390||||
470060266|361||||
160136492|366||||
330009590|361||||
140023193|361||||
100109736|391||||
1620757|361||||
36106832|482||||
1452392|364||||
160138862|482||||
160138822|482||||
10001215|391||||
160139607|482||||
330015729|436||||
36113739|361||||
60000647|362||||
330138432|482||||
740000273|362||||
690045444|482||||
330160299|391||||
160141324|482||||
1232398|361||||
330157197|482||||
690049720|390||||
36208183|431||||
690010098|361||||
740001202|394||||
23042518|434||||
60093378|392||||
160111636|362||||
60040329|361||||
1378805|482||||
22442481|482||||
330053355|482||||
140010267|390||||
1415308|361||||
60037388|456||||
160116092|452||||
160145284|482||||
81118376|361||||
60573355|392||||
690043819|394||||
740001202|394||||
140043863|362||||
1491349|438||||
690043819|394||||
100208315|482||||
60017034|431||||
60021413|393||||
330166413|482||||
60176597|391||||
60044524|361||||
60040402|390||||
330167328|482||||
60024296|392||||
60013676|390||||
160148852|482||||
160111636|362||||
740001059|362||||
260005660|361||||
36205307|482||||
87205072|456||||
60052602|361||||
60052602|361||||
10000941|452||||
66666914|482||||
60000458|362||||
60050450|361||||
160111636|362||||
60000458|362||||
690002830|391||||
140069840|98||||
260000951|391||||
330059744|361||||
36154756|391||||
690039663|394||||
87173627|482||||
160033935|360||||
130005583|368||||
330172364|482||||
60045079|482||||
160152780|482||||
767778301|362||||
100213946|482||||
767778805|391||||
840001158|360||||
60199357|361||||
100214770|482||||
160040773|534||||
690006693|394||||
1492567|560||||
330174366|482||||
60062619|364||||
1612681|368||||
180006991|368||||
330175197|391||||
36161415|390||||
60001511|364||||
810000225|394||||
140100441|391||||
160156750|482||||
51544|560||||
160116160|393||||
36102755|368||||
60040085|456||||
160082050|535||||
60007597|431||||
1569614|390||||
60066263|361||||
60200936|458||||
340002935|482||||
180007314|361||||
160161402|482||||
1415308|361||||
140010730|482||||
60574991|360||||
160066671|482||||
160104052|482||||
1484626|361||||
690023157|434||||
1459449|535||||
330184661|482||||
81201149|431||||
100223702|482||||
36141096|361||||
160102013|482||||
880001656|98||||
880001656|98||||
81203458|535||||
160092735|535||||
810000168|394||||
160144144|366||||
690018572|431||||
330097157|393||||
60041305|482||||
330009590|361||||
22226018|535||||
330156597|431||||
1218347|390||||
36162310|436||||
87157490|394||||
767777832|360||||
330188281|482||||
160165960|482||||
1389113|482||||
140016549|482||||
330189546|482||||
60083563|362||||
160071050|98||||
36156116|436||||
55004675|362||||
1618761|391||||
60083563|362||||
60066263|361||||
60066263|361||||
600001800|560||||
62231753|431||||
1218347|390||||
140025448|482||||
60028726|390||||
1398692|391||||
36154756|391||||
30003545|360||||
36162310|436||||
60574991|535||||
1388268|98||||
160110862|391||||
62233406|451||||
30010020|361||||
60204410|391||||
100223477|560||||
1199264|431||||
680000881|535||||
60006984|361||||
160175630|482||||
60044868|393||||
160012767|534||||
160176355|482||||
330079263|482||||
1498843|391||||
330199071|482||||
87248234|391||||
330199297|98||||
202|390||||
160027084|361||||
1307667|431||||
160005542|391||||
330201984|482||||
330202459|482||||
60154903|482||||
1583661|362||||
330203326|482||||
160116092|452||||
60028726|390||||
9046124|560||||
160116092|452||||
160116092|452||||
160182613|391||||
330205958|482||||
330206072|482||||
630001280|482||||
160184470|482||||
60010547|482||||
22457533|482||||
920000301|482||||
810000552|393||||
160187010|482||||
60086679|482||||
330209693|482||||
330209706|482||||
60217064|535||||
330211263|482||||
9202|391||||
36178248|534||||
640000330|482||||
330211941|482||||
330138460|368||||
60052847|391||||
330212272|482||||
330212763|482||||
330212897|482||||
60035360|361||||
140033468|482||||
60036473|535||||
300004697|534||||
330179717|98||||
1484060|360||||
330215167|535||||
60200677|98||||
330191255|98||||
330019490|390||||
22231486|532||||
40005337|361||||
1499347|560||||
690005451|368||||
60002350|533||||
60088139|431||||
190000872|390||||
60002724|390||||
690012319|361||||
36107805|456||||
140001287|434||||
160177109|391||||
470005408|482||||
330216703|391||||
60579603|535||||
330169417|391||||
130002615|482||||
70014972|482||||
330081503|482||||
87242695|368||||
690046062|391||||
690009590|368||||
36121130|482||||
60005631|361||||
140032683|482||||
330128838|361||||
160194941|482||||
87215351|535||||
330196815|361||||
20000246|434||||
160194534|482||||
23022510|390||||
90002730|360||||
87201028|482||||
60049045|365||||
170000480|482||||
330123430|482||||
36192784|391||||
140024923|535||||
36116385|431||||
36136776|366||||
330094902|482||||
22452506|390||||
70003953|361||||
30009441|362||||
81132583|390||||
380000474|482||||
87201654|482||||
300000612|535||||
330220042|482||||
180002985|432||||
87256341|482||||
36104159|361||||
330220160|482||||
23000626|482||||
1218896|482||||
23016270|482||||
260000998|390||||
140023736|391||||
1618627|482||||
1163326|535||||
60001511|364||||
330220964|560||||
170000809|364||||
690022689|482||||
60183853|482||||
160198887|482||||
36114432|362||||
1407865|482||||
1457081|361||||
180009531|366||||
36152180|362||||
30000825|362||||
330138460|368||||
160199781|482||||
690034010|361||||
36105964|446||||
1130571|482||||
1128764|444||||
140025465|534||||
10004280|98||||
36179063|482||||
330068291|366||||
40009788|535||||
70013953|98||||
40004275|534||||
760000024|392||||
160102321|482||||
130018838|362||||
60006958|391||||
260003516|560||||
87167956|365||||
160193536|482||||
87190813|560||||
100226754|482||||
22464146|365||||
60578901|390||||
60066701|482||||
160155533|361||||
1496462|390||||
87209016|560||||
58506|365||||
69996751|482||||
60041202|560||||
60005382|361||||
60035992|535||||
60088849|560||||
60040445|482||||
87203791|361||||
23020745|560||||
1295318|361||||
100068786|390||||
330212029|482||||
690015871|482||||
1559419|361||||
470055405|361||||
690000427|368||||
330050231|482||||
61111313|482||||
1575454|560||||
36134134|366||||
59645|437||||
60228394|535||||
1381122|560||||
87223539|535||||
70010708|434||||
70018415|530||||
470019147|98||||
1491349|434||||
470000693|482||||
160205510|482||||
90009970|560||||
36133847|361||||
36121434|390||||
160205786|534||||
36144642|436||||
330197875|560||||
330177276|482||||
81137489|362||||
22226630|362||||
330104534|393||||
87184647|361||||
22443184|534||||
81132583|390||||
140029849|482||||
100269939|482||||
690002640|368||||
160172797|361||||
330150577|391||||
330192770|482||||
330036498|482||||
36127009|366||||
60022240|361||||
1129767|436||||
1129767|446||||
1129767|436||||
1129767|436||||
1129767|436||||
1129767|436||||
1129767|446||||
1129767|446||||
1129767|436||||
1129767|436||||
1129767|436||||
1129767|436||||
1129767|446||||
180007108|432||||
69997063|431||||
1426628|482||||
160086399|98||||
160178916|482||||
36178215|482||||
36120805|482||||
70017936|560||||
119858|482||||
160037796|361||||
244444701|360||||
1396179|361||||
710001059|360||||
36204315|431||||
1360722|390||||
1571753|535||||
470038881|361||||
1565263|452||||
60037516|530||||
36152366|390||||
60014375|431||||
60206669|364||||
640000217|482||||
160062761|361||||
22224789|482||||
100105400|393||||
160188260|482||||
140062684|482||||
330235605|482||||
54497|535||||
60206669|364||||
81120450|482||||
160213242|482||||
69985385|431||||
470075375|482||||
100149433|482||||
81126742|482||||
160078561|535||||
1370138|361||||
36147172|530||||
260006041|391||||
87160683|482||||
330183847|482||||
160215134|482||||
87220558|364||||
55004992|98||||
160064753|482||||
730000549|560||||
330238430|360||||
36120766|98||||
180008367|482||||
330238849|482||||
36202079|482||||
330117003|482||||
690010977|361||||
100104113|391||||
160146643|534||||
160073575|534||||
160129227|391||||
87261114|366||||
330240447|560||||
60035838|482||||
1624776|98||||
81141277|361||||
30013711|368||||
87261369|366||||
330241273|535||||
470062609|365||||
87174095|361||||
140016697|361||||
330243472|482||||
1544726|361||||
470007090|560||||
690002331|364||||
23006373|535||||
60025445|482||||
1496049|368||||
690009965|365||||
36158360|534||||
100281179|391||||
60571848|535||||
160222201|482||||
87182340|436||||
60012839|560||||
9048140|482||||
330147477|368||||
36207253|482||||
160133574|482||||
62233125|482||||
60127865|482||||
9054852|482||||
160223596|391||||
1428936|482||||
330246513|482||||
330089090|391||||
160019644|482||||
160082240|361||||
160120306|391||||
190014464|362||||
690006719|360||||
30000958|362||||
87254826|391||||
330247989|560||||
1486192|98||||
160053469|391||||
160007125|431||||
87201694|535||||
690000026|361||||
1415818|391||||
90011092|482||||
1437958|390||||
60212376|391||||
36112066|535||||
6791|534||||
470008895|533||||
22233138|361||||
330102978|482||||
190013301|534||||
660001244|535||||
780000126|535||||
820001404|482||||
60064581|361||||
36123815|531||||
160229449|560||||
160139426|364||||
330252587|391||||
160140393|98||||
330252843|482||||
330252681|560||||
1534134|361||||
160139426|364||||
160230260|535||||
330253446|482||||
1439195|535||||
1541129|391||||
22444684|482||||
180006607|362||||
1368582|394||||
60036118|535||||
100288796|482||||
160230945|391||||
140024147|482||||
100131755|391||||
330177522|360||||
60069561|362||||
1523259|560||||
87223127|391||||
160224138|482||||
330256434|560||||
100287590|534||||
300000581|434||||
60036926|482||||
700000471|482||||
70003224|98||||
330258100|391||||
330251692|391||||
330215667|482||||
750000294|482||||
330186249|391||||
470034243|361||||
330186712|560||||
87190767|482||||
9202|391||||
690021615|361||||
360002714|560||||
36127912|361||||
1162004|560||||
160236523|98||||
330244364|482||||
470033470|560||||
87231829|535||||
87259381|535||||
330171412|482||||
60022925|361||||
330178167|361||||
160238140|482||||
36119390|431||||
320000004|362||||
690005244|368||||
36125235|391||||
87257456|360||||
81136288|482||||
60206285|560||||
330262767|482||||
330184767|361||||
160126386|482||||
330253890|391||||
470065276|482||||
690020069|534||||
23039028|560||||
140011372|534||||
1437958|390||||
244444582|534||||
190001817|435||||
270001004|560||||
30011537|534||||
850000370|362||||
330266727|482||||
1435734|560||||
60001429|482||||
60017687|391||||
87252910|560||||
690031103|362||||
10001831|482||||
160009760|361||||
36159618|360||||
160174397|535||||
1527668|533||||
330267651|482||||
160243421|482||||
10001821|482||||
160212694|360||||
330268075|391||||
160245021|482||||
470078916|482||||
470041533|482||||
160054953|482||||
22225873|560||||
