IDprocess|Date|Mark|Clicode|Reason1|Reason1More
2519535|2023-06-10 14:29:15|5|1372409|Организация сервиса при доставке|Срыв сроков доставки
2519562|2023-06-10 17:08:40|5|160092250|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2519574|2023-06-10 18:35:16|1|330203546|Цена|Неконкурентоспособные цены
2519883|2023-06-11 18:18:48|5|9067025|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2520061|2023-06-12 09:36:18|5|90103156|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2520281|2023-06-12 20:46:07|5| 100071891|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2521264|2023-06-13 10:39:10|5|87235405|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2521415|2023-06-13 11:09:42|4|9131508|Срок поставки|Срыв сроков поставки от поставщика
2521468|2023-06-13 11:17:22|5|55040874|Комплектация заказа|Пересорт, некомплект
2521808|2023-06-13 12:36:04|5|440068934|Срок поставки|Срыв сроков поставки от поставщика
2521946|2023-06-13 13:06:44|1|100180585|Организация сервиса при самовывозе|Отказ в помощи при погрузке, отказ в обслуживании
2522042|2023-06-13 13:23:24|5|1408168|Организация сервиса при доставке|Срыв сроков доставки
2522550|2023-06-13 15:05:39|5|60046862|Организация сервиса при самовывозе|Отказ в помощи при погрузке, отказ в обслуживании
2522592|2023-06-13 15:18:37|2|9107161|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2522880|2023-06-13 16:25:03|5|330117168|Удовлетворенность рассмотрением претензии|Качество реагирования ЭТМ на претензию (насколько устроил ответ и действия ЭТМ)
2522942|2023-06-13 16:40:56|5|55005615|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2523116|2023-06-13 18:11:08|1|160352397|Организация сервиса при самовывозе|Скорость обслуживания
2523197|2023-06-13 20:53:33|5|100022936|Комплектация заказа|Пересорт, некомплект
2523200|2023-06-13 20:57:08|5|160285266|Работа персонала ЭТМ|Непрофессионализм, некомпетентность менеджера
2523784|2023-06-14 09:22:09|3|470061331|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2524143|2023-06-14 10:32:32|5|440114434|Корректность документооборота|Некорректное оформление документов
2524163|2023-06-14 10:35:16|1|330282610|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2524554|2023-06-14 11:52:47|5|330017948|Сервис iPRO (сайт, мобильное приложение)|Баллы, амперы
2525635|2023-06-14 16:01:04|1|36115454|Срок поставки|Срыв сроков поставки от поставщика
2525746|2023-06-14 16:35:57|5|1268981|Работа персонала ЭТМ|Заменить закрепленного менеджера
2525765|2023-06-14 16:37:40|5|330238480|Сервис iPRO (сайт, мобильное приложение)|Баллы, амперы
2526035|2023-06-14 18:58:13|4|440168542|Корректность документооборота|Возврат д/с
2526145|2023-06-14 23:28:27|3|100215840|Организация сервиса при самовывозе|Скорость обслуживания
2526224|2023-06-15 06:50:36|5|690040500|Организация сервиса при самовывозе|Скорость обслуживания
2526331|2023-06-15 08:08:59|1|90068582|Срок поставки|Срыв сроков поставки от поставщика
2527344|2023-06-15 12:09:57|5|87221751|Работа персонала ЭТМ|Заменить закрепленного менеджера
2527591|2023-06-15 13:02:14|5|140048581|Организация сервиса при доставке|Срыв сроков доставки
2528324|2023-06-15 15:34:59|5|820015918|Работа персонала ЭТМ|Жалоба на сотрудников склада, водителей, охраны
2528423|2023-06-15 16:04:27|5|100079713|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2528595|2023-06-15 20:22:46|1|140026303|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2528634|2023-06-15 22:33:35|5|440155080|Срок поставки|Срыв сроков поставки от поставщика
2528660|2023-06-15 23:47:18|5|330128756|Работа персонала ЭТМ|Жалоба на сотрудников точки, офиса при оформлении документов
2529359|2023-06-16 10:12:27|5|820274008|Комплектация заказа|Пересорт, некомплект
2529629|2023-06-16 11:18:06|3|330039693|Срок поставки|Срыв сроков поставки от поставщика
2529917|2023-06-16 12:12:02|1|360003256|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2529973|2023-06-16 12:21:04|5|100045814|Работа персонала ЭТМ|Непрофессионализм, некомпетентность менеджера
2531018|2023-06-16 19:13:59|5|160189316|Организация сервиса при самовывозе|Отказ в помощи при погрузке, отказ в обслуживании
2531130|2023-06-17 09:17:32|4|23008556|Организация сервиса при самовывозе|Скорость обслуживания
2531133|2023-06-17 09:18:35|5|90104379|Организация сервиса при самовывозе|Скорость обслуживания
2531292|2023-06-17 18:03:03|4|330125528|Организация сервиса при доставке|Срыв сроков доставки
2531306|2023-06-17 19:12:11|5|9061782|Организация сервиса при самовывозе|Скорость обслуживания
2531587|2023-06-18 19:55:07|5|36203502|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2532515|2023-06-19 10:42:29|5|440103621|Срок поставки|Срыв сроков поставки от поставщика
2533686|2023-06-19 14:12:27|4|1358555|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2534634|2023-06-19 19:03:33|5|160075581|Корректность документооборота|Возврат д/с
2535240|2023-06-20 09:15:52|5|160100422|Организация сервиса при самовывозе|Скорость обслуживания
2535937|2023-06-20 11:26:09|1|1610495|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2536076|2023-06-20 11:53:08|5|100255138|Комплектация заказа|Возврат/брак
2536178|2023-06-20 12:11:17|5|330023420|Организация сервиса при доставке|Прием заявки на доставку
2537144|2023-06-20 15:27:32|5|55116226|Организация сервиса при самовывозе|Скорость обслуживания
2538333|2023-06-21 09:56:46|1|55088216|Срок поставки|Срыв сроков поставки от поставщика
2538390|2023-06-21 10:10:22|1|140006069|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2538967|2023-06-21 12:28:04|4|100068981|Сервис iPRO (сайт, мобильное приложение)|Корректность технической информации
2539050|2023-06-21 12:47:21|5|160293257|Сервис iPRO (сайт, мобильное приложение)|Мобильное приложение: регистрация, поиск, неработающие функции, юзабилити
2539593|2023-06-21 14:52:06|1|470053767|Организация сервиса при доставке|Другое
2540403|2023-06-21 19:54:48|5|60229351|Работа персонала ЭТМ|Жалоба на сотрудников склада, водителей, охраны
2540425|2023-06-21 20:30:39|5|90029878|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2540582|2023-06-22 07:23:59|4|100087345|Организация сервиса при самовывозе|Скорость обслуживания
2541247|2023-06-22 10:33:50|1|140063588|Удовлетворенность рассмотрением претензии|Качество реагирования ЭТМ на претензию (насколько устроил ответ и действия ЭТМ)
2541255|2023-06-22 10:34:16|5|330081923|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2541334|2023-06-22 10:50:17|4|90107294|Организация сервиса при самовывозе|Скорость обслуживания
2541458|2023-06-22 11:20:45|5|470002854|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2541924|2023-06-22 12:46:32|1|440046797|Организация сервиса при доставке|Срыв сроков доставки
2543029|2023-06-22 17:39:36|5|60106663|Организация сервиса при доставке|Грубость персонала при доставке (сотрудник ЭТМ, водитель)
2543162|2023-06-22 21:06:16|5|100076814|Комплектация заказа|Возврат/брак
2543231|2023-06-23 00:39:16|5|690050010|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2543308|2023-06-23 07:25:01|5|100368943|Комплектация заказа|Пересорт, некомплект
2543336|2023-06-23 07:53:16|4|440130347|Срок поставки|Срыв сроков поставки от поставщика
2543605|2023-06-23 09:43:16|5|160023396|Комплектация заказа|Пересорт, некомплект
2543606|2023-06-23 09:43:16|5|160023396|Комплектация заказа|Пересорт, некомплект
2543615|2023-06-23 09:46:33|5|160023396|Комплектация заказа|Пересорт, некомплект
2544363|2023-06-23 12:42:21|1|100269218|Комплектация заказа|Жалобы на КПП (куски)
2544802|2023-06-23 14:41:44|2|60145070|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2545163|2023-06-23 17:02:44|1|140006069|Организация сервиса при доставке|Срыв сроков доставки
2545164|2023-06-23 17:03:36|4|55088216|Удовлетворенность рассмотрением претензии|Качество реагирования ЭТМ на претензию (насколько устроил ответ и действия ЭТМ)
2545197|2023-06-23 17:34:10|5|90109263|Работа персонала ЭТМ|Непрофессионализм, некомпетентность менеджера
2545253|2023-06-23 20:39:58|5|330060441|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2545447|2023-06-24 17:22:25|5|90019450|Комплектация заказа|Качество внешнего вида полученного товара (заводской упаковки и/или упаковки ЭТМ, наклейки, скотч и пр.)
2545538|2023-06-24 22:57:34|5|60191860|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2545573|2023-06-25 08:57:55|5|90052959|Цена|Невозможность выписки по предложенной цене
2546249|2023-06-26 09:28:28|5|330159153|Организация сервиса при доставке|Срыв сроков доставки
2546458|2023-06-26 10:06:59|5|330201400|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2546614|2023-06-26 10:31:02|1|390000334|Комплектация заказа|Пересорт, некомплект
2547251|2023-06-26 12:47:49|5|1473777|Комплектация заказа|Пересорт, некомплект
2547450|2023-06-26 13:34:57|4|100072314|Организация сервиса при доставке|Удобство сервиса доставки
2548889|2023-06-26 23:26:50|5|36163504|Организация сервиса при самовывозе|Скорость обслуживания
2549353|2023-06-27 09:32:47|2|55005615|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2549521|2023-06-27 10:09:19|1|90077720|Срок поставки|Срыв сроков поставки от поставщика
2549776|2023-06-27 11:06:17|3|100001484|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2549778|2023-06-27 11:07:04|5|36194531|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2549871|2023-06-27 11:21:42|5|100219906|Корректность документооборота|Некорректное оформление документов
2551115|2023-06-27 16:26:17|4|1199188|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2551832|2023-06-28 09:06:19|4|1348421|Комплектация заказа|Пересорт, некомплект
2552041|2023-06-28 09:48:34|5|36138421|Организация сервиса при самовывозе|Скорость обслуживания
2552185|2023-06-28 10:20:06|5|100005467|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2552608|2023-06-28 11:53:56|5| 87201149|Удовлетворенность рассмотрением претензии|Качество реагирования ЭТМ на претензию (насколько устроил ответ и действия ЭТМ)
2552938|2023-06-28 13:12:32|5|1633939|Комплектация заказа|Пересорт, некомплект
2553094|2023-06-28 13:57:38|5|140056871|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2553115|2023-06-28 14:04:46|1|440150363|Организация сервиса при самовывозе|Скорость обслуживания
2553153|2023-06-28 14:15:35|5|61121411|Срок поставки|Срыв сроков поставки от поставщика
2553211|2023-06-28 14:31:41|1|440172331|Срок поставки|Срыв сроков поставки от поставщика
2553329|2023-06-28 15:07:21|4|100342296|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2553733|2023-06-28 16:52:28|5|140033680|Удовлетворенность рассмотрением претензии|Отказ в возврате/обмене
2553898|2023-06-28 18:09:07|5|90108532|Организация сервиса при доставке|Срыв сроков доставки
2553931|2023-06-28 18:51:52|5|100011414|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2556178|2023-06-29 16:40:58|4|330025932|Организация сервиса при самовывозе|Скорость обслуживания
2556434|2023-06-29 19:05:40|5|170007435|Комплектация заказа|Пересорт, некомплект
2556509|2023-06-29 22:00:30|5|55119499|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2556724|2023-06-30 08:25:31|5|140072658|Срок поставки|Срыв сроков поставки из-за задержки приема товара на ЛЦ
2556911|2023-06-30 09:35:47|1|330003988|Работа персонала ЭТМ|Непрофессионализм, некомпетентность менеджера
2556958|2023-06-30 09:50:03|5|170007435|Комплектация заказа|Пересорт, некомплект
2556975|2023-06-30 09:54:19|5|160353911|Комплектация заказа|Пересорт, некомплект
2557298|2023-06-30 11:16:13|4|100132307|Корректность документооборота|Возврат д/с
2557362|2023-06-30 11:33:03|4|440175673|Удовлетворенность рассмотрением претензии|Оперативность реагирования ЭТМ на претензию
2557522|2023-06-30 12:09:03|4|87195198|Срок поставки|Срыв сроков поставки из-за задержки приема товара на ЛЦ
2557891|2023-06-30 13:18:20|5|100022782|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2558558|2023-06-30 16:41:00|4|1435991|Организация сервиса при доставке|Срыв сроков доставки
2558693|2023-06-30 20:00:26|5|100068075|Работа персонала ЭТМ|Непрофессионализм, некомпетентность менеджера
2559044|2023-07-01 22:08:56|5|820087475|Работа персонала ЭТМ|Непрофессионализм, некомпетентность менеджера
2559560|2023-07-03 08:08:08|5|160070881|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2559958|2023-07-03 09:45:55|5|9091578|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2560297|2023-07-03 10:39:58|4|1159645|Срок поставки|Срыв сроков поставки от поставщика
2560593|2023-07-03 11:27:53|5|330026618|Удовлетворенность рассмотрением претензии|Качество реагирования ЭТМ на претензию (насколько устроил ответ и действия ЭТМ)
2560986|2023-07-03 12:54:10|5|160163662|Работа персонала ЭТМ|Заменить закрепленного менеджера
2561262|2023-07-03 13:54:49|1|140007508|Комплектация заказа|Пересорт, некомплект
2562060|2023-07-03 16:27:03|3|820071378|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2562082|2023-07-03 16:33:18|5|60047485|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2563309|2023-07-04 10:28:45|5|90111786|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2563356|2023-07-04 10:39:12|5|100302517|Срок поставки|Срыв сроков поставки от поставщика
2563634|2023-07-04 11:25:01|5|30013999|Работа персонала ЭТМ|Жалоба на сотрудников точки, офиса при оформлении документов
2563856|2023-07-04 12:12:30|3|820071378|Организация сервиса при доставке|Срыв сроков доставки
2563877|2023-07-04 12:15:47|1|55005615|Срок поставки|Срыв сроков поставки от поставщика
2564736|2023-07-04 15:34:49|1|440118390|Корректность документооборота|Некорректное оформление документов
2565018|2023-07-04 16:57:48|5|1401755|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2565294|2023-07-04 21:46:55|5|100261227|Работа персонала ЭТМ|Непрофессионализм, некомпетентность менеджера
2565423|2023-07-05 06:23:40|5|740000260|Комплектация заказа|Нужного товара нет в наличии на складе
2565503|2023-07-05 07:36:03|5|820076453|Сервис iPRO (сайт, мобильное приложение)|Корректность технической информации
2565652|2023-07-05 08:53:31|5|690022234|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2565660|2023-07-05 08:57:52|3|36203542|Срок поставки|Срыв сроков поставки от поставщика
2566039|2023-07-05 10:22:21|5|90111358|Организация сервиса при доставке|Прием заявки на доставку
2566067|2023-07-05 10:26:13|5|170023479|Срок поставки|Срыв сроков поставки от поставщика
2566217|2023-07-05 11:04:02|5|60029498|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2566417|2023-07-05 11:53:49|5|820217106|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2566624|2023-07-05 12:56:33|1|100135007|Работа персонала ЭТМ|Жалоба на сотрудников точки, офиса при оформлении документов
2566753|2023-07-05 13:24:51|5|820052392|Работа персонала ЭТМ|Заменить закрепленного менеджера
2567017|2023-07-05 14:20:38|5|160131754|Корректность документооборота|Некорректное оформление документов
2567958|2023-07-05 20:04:49|2|90107421|Работа персонала ЭТМ|Жалоба на сотрудников склада, водителей, охраны
2568099|2023-07-06 05:32:35|5|160161565|Сервис iPRO (сайт, мобильное приложение)|Баллы, амперы
2568647|2023-07-06 09:53:36|1|470007246|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2569013|2023-07-06 10:57:24|5|9107126|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2569160|2023-07-06 11:29:57|5|100333078|Корректность документооборота|Некорректное оформление документов
2569767|2023-07-06 13:42:40|1|140044199|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2570159|2023-07-06 15:24:25|5|9061073|Работа персонала ЭТМ|Непрофессионализм, некомпетентность менеджера
2570297|2023-07-06 16:09:22|4|140092474|Организация сервиса при самовывозе|Скорость обслуживания
2570621|2023-07-06 20:16:45|2|1342468|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2570903|2023-07-07 08:47:46|1|9205091|Срок поставки|Срыв сроков поставки от поставщика
2571129|2023-07-07 09:42:54|5|100200722|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2571376|2023-07-07 10:36:29|5|440035880|Организация сервиса при самовывозе|Скорость обслуживания
2571525|2023-07-07 11:18:04|5|440172889|Организация сервиса при доставке|Срыв сроков доставки
2571931|2023-07-07 12:56:23|3|160208179|Срок поставки|Срыв сроков поставки из-за задержки приема товара на ЛЦ
2571961|2023-07-07 13:03:58|2|60107539|Срок поставки|Срыв сроков поставки от поставщика
2572133|2023-07-07 13:50:33|5|820075500|Срок поставки|Срыв сроков поставки от поставщика
2572462|2023-07-07 15:44:43|5|440179175|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2572628|2023-07-07 18:08:07|2|1622248|Комплектация заказа|Возврат/брак
2572634|2023-07-07 18:42:11|1|440004968|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2573006|2023-07-09 08:28:59|4|160086504|Работа персонала ЭТМ|Жалоба на сотрудников точки, офиса при оформлении документов
2574777|2023-07-10 13:04:23|4|9146445|Комплектация заказа|Возврат/брак
2575030|2023-07-10 14:05:24|5|9146445|Комплектация заказа|Возврат/брак
2575733|2023-07-10 16:35:26|3|55110381|Срок поставки|Срыв сроков поставки от поставщика
2575857|2023-07-10 17:32:25|3|55047346|Организация сервиса при самовывозе|Скорость обслуживания
2575935|2023-07-10 18:20:26|5|470005279|Срок поставки|Срыв сроков поставки от поставщика
2576347|2023-07-11 08:56:52|5|1474694|Организация сервиса при доставке|Срыв сроков доставки
2576404|2023-07-11 09:15:15|5|1204180|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2576556|2023-07-11 09:50:44|5|160347062|Комплектация заказа|Пересорт, некомплект
2576654|2023-07-11 10:02:07|1|36171434|Организация сервиса при самовывозе|Скорость обслуживания
2576760|2023-07-11 10:17:58|1|78096|Коммерческие условия|Запрос на расширение ТК, отсрочки
2576815|2023-07-11 10:28:00|1|140025880|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2576944|2023-07-11 10:51:17|5|440081654|Комплектация заказа|Пересорт, некомплект
2577070|2023-07-11 11:22:12|5|330307557|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2577313|2023-07-11 12:06:10|1|440092918|Комплектация заказа|Пересорт, некомплект
2577318|2023-07-11 12:07:02|1|9082612|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2577383|2023-07-11 12:16:30|5|55110381|Срок поставки|Срыв сроков поставки от поставщика
2577389|2023-07-11 12:18:52|1|330205101|Организация сервиса при самовывозе|Отказ в помощи при погрузке, отказ в обслуживании
2577813|2023-07-11 13:52:26|1|1507330|Удовлетворенность рассмотрением претензии|Качество реагирования ЭТМ на претензию (насколько устроил ответ и действия ЭТМ)
2578862|2023-07-11 23:04:52|5|55110002|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2579486|2023-07-12 09:58:24|5|60160355|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2579624|2023-07-12 10:30:44|5|140036684|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2580331|2023-07-12 12:50:15|5|22225360|Комплектация заказа|Пересорт, некомплект
2580684|2023-07-12 14:02:31|5|100039952|Комплектация заказа|Возврат/брак
2581078|2023-07-12 15:41:31|1|78096|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2581488|2023-07-12 16:55:45|3|36203542|Организация сервиса при доставке|Срыв сроков доставки
2581568|2023-07-12 17:28:00|5|36110398|Комплектация заказа|Пересорт, некомплект
2581751|2023-07-12 22:39:13|4|9076842|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2582173|2023-07-13 09:15:03|4|90106818|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2582210|2023-07-13 09:21:46|5|78096|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2582799|2023-07-13 11:11:52|4|90109524|Корректность документооборота|Возврат д/с
2582893|2023-07-13 11:27:20|5|440007613|Цена|Невозможность выписки по предложенной цене
2582937|2023-07-13 11:39:16|4|100292859|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2583305|2023-07-13 12:49:08|1|330254585|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2583714|2023-07-13 14:20:58|1|90114171|Работа персонала ЭТМ|Непрофессионализм, некомпетентность менеджера
2584051|2023-07-13 15:49:34|4|60061294|Комплектация заказа|Пересорт, некомплект
2584065|2023-07-13 15:57:46|5|130006543|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2584171|2023-07-13 16:29:17|5|78096|Организация сервиса при самовывозе|Скорость обслуживания
2584755|2023-07-14 07:46:39|3|470043969|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2584876|2023-07-14 08:56:54|5|90073550|Комплектация заказа|Пересорт, некомплект
2584877|2023-07-14 08:58:03|5|9085591|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2584884|2023-07-14 09:01:23|1|140049176|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2585050|2023-07-14 09:44:11|1|140015695|Срок поставки|Срыв сроков поставки от поставщика
2585369|2023-07-14 10:56:37|3|78096|Организация сервиса при самовывозе|Скорость обслуживания
2585381|2023-07-14 10:58:31|2|81133301|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2585671|2023-07-14 12:22:33|5|78096|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2585759|2023-07-14 12:51:32|5|36110265|Организация сервиса при доставке|Срыв сроков доставки
2586001|2023-07-14 14:03:38|1|330035451|Комплектация заказа|Пересорт, некомплект
2586058|2023-07-14 14:24:39|5|60160355|Сервис iPRO (сайт, мобильное приложение)|Web-версия: регистрация, поиск, неработающие функции, юзабилити
2586070|2023-07-14 14:30:39|5|59608|Организация сервиса при доставке|Не учтены комментарии к заявке
2586384|2023-07-14 15:51:49|5|90069549|Комплектация заказа|Возврат/брак
2586394|2023-07-14 15:54:07|5|470012292|Организация сервиса при самовывозе|Скорость обслуживания
2586546|2023-07-14 18:10:18|5|1638282|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
2586574|2023-07-14 19:11:15|1|100277622|Срок поставки|Срыв сроков поставки при перемещении с ЛЦ в ОП
2586713|2023-07-15 08:34:32|1|440140191|Работа персонала ЭТМ|Менеджер не помогает (долго, забывает, не дозвониться, не выполняет обещанного и т.д.)
